strongs_id,definition,short_def,etymology
H42,"Abinoam = ""my father is delight""
1) father of Barak, descendant of Naphtali","Abinoam, an Israelite",from and ; father of pleasantness (i.e. gracious);
H43,"Ebiasaph = ""my father has gathered""
1) a son or descendant of Korah","Ebjasaph, an Israelite",contracted from ;
H44,"Abiezer = ""my father is help""
1) a Manassite, called ""son"" of Gilead, also son of Gilead's sister
2) a Benjamite, warrior of David","Abiezer, the name of two Israelites",from and ; father of help (i.e. helpful);
H45,"Abialbon = ""El (God) is my father""
1) one of David's mighty men (hero)","Abialbon, an Israelite","from and an unused root of uncertain derivation; probably, father of strength (i.e. valiant);"
H46,"1) strong, mighty-used only to describe God
2) the Strong-old name for God (poetic)",mighty (spoken of God),from ;
H47,"1) mighty, valiant
1a) of men
1b) of angels
1c) of animals
1d) (metaph)
1d1) of enemies
1d2) of princes
1d3) of sacrificial objects
1e) obstinate (fig.)",{mighty (spoken of God)},for
H48,"Abiram = ""my father is exalted"" or ""(the) Exalted One is (my) father""
1) a Reubenite, son of Eliab in exodus
2) son of Hiel the Bethelite who worked to rebuild Jericho","Abiram, the name of two Israelites",from and ; father of height (i.e. lofty);
H49,"Abishag = ""my father is a wanderer""
1) David's beautiful young nurse","Abishag, a concubine of David",from and ; father of error (i.e. blundering);
H50,"Abishua = ""my father is rescue (safety), or is opulence""
1) son of Phinehas, grandson of Aaron","Abishua, the name of two Israelites",from and ; father of plenty (i.e. prosperous);
H51,"Abishur = ""my father is a wall""
1) son of Shammai, descendant of Judah","Abishur, an Israelite",from and ; father of (the) wall (i.e. perhaps mason);
H52,"Abishai = ""my father is Jesse"" or ""my father is a gift""
1) grandson of Jesse, nephew of David via his sister Zeruiah, brother of Joab","Abishai, an Israelite",or (shorter) ; from and ; father of a gift (i.e. probably generous);
H53,"Absalom or Abishalom = ""my father is peace""
1) father-in-law of Rehoboam
2) third son of David, killer of first-born son Amnon, also leader of revolt against his father-David","Abshalom, a son of David; also (the fuller form) a later Israelite",or (shortened) ; from and ; father of peace (i.e. friendly);
H54,"Abiathar = ""my father is great""
1) priest, son of Ahitub (Ahimelech), faithful to David, but later rebelled with Adonijah","Ebjathar, an Israelite",contracted from and ; father of abundance (i.e. liberal);
H55,"1) to roll, turn
1a) (Hithpael) to roll, roll up, billow",probably to coil upward,a primitive root;
